asignatura,año,convocatoria,url_examen,ruta_local,url_criterios,estado,sospecha_escaneado,notas
Química,2022,ordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/24_exame_quimica_2022.pdf,fuentes/quimica/2022/ordinaria/24_quimica_ordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2022,extraordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/24_exame_quimica_2022.pdf,fuentes/quimica/2022/extraordinaria/24_quimica_extraordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2023,ordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/24_exame_quimica_2023.pdf,fuentes/quimica/2023/ordinaria/24_quimica_ordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2023,extraordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/24_exame_quimica_2023.pdf,fuentes/quimica/2023/extraordinaria/24_quimica_extraordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2024,ordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/24_exame_quimica_2024.pdf,fuentes/quimica/2024/ordinaria/24_quimica_ordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2024,extraordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/24_exame_quimica_2024.pdf,fuentes/quimica/2024/extraordinaria/24_quimica_extraordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2025,ordinaria,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/exames/20.pdf,fuentes/matematicas_ii/2025/ordinaria/20_matematicas_ii_ordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/criterios/20.pdf,descargado,no,
Matemáticas II,2025,extraordinaria,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/exames/20.pdf,fuentes/matematicas_ii/2025/extraordinaria/20_matematicas_ii_extraordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/criterios/20.pdf,descargado,no,
Bioloxía,2025,ordinaria,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/exames/21.pdf,fuentes/bioloxia/2025/ordinaria/21_bioloxia_ordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/criterios/21.pdf,descargado,no,
Bioloxía,2025,extraordinaria,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/exames/21.pdf,fuentes/bioloxia/2025/extraordinaria/21_bioloxia_extraordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/criterios/21.pdf,descargado,no,
Física,2025,ordinaria,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/exames/23.pdf,fuentes/fisica/2025/ordinaria/23_fisica_ordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/criterios/23.pdf,descargado,no,
Física,2025,extraordinaria,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/exames/23.pdf,fuentes/fisica/2025/extraordinaria/23_fisica_extraordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/criterios/23.pdf,descargado,no,
Química,2025,ordinaria,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/exames/24.pdf,fuentes/quimica/2025/ordinaria/24_quimica_ordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/ordinaria/criterios/24.pdf,descargado,no,
Química,2025,extraordinaria,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/exames/24.pdf,fuentes/quimica/2025/extraordinaria/24_quimica_extraordinaria_2025.pdf,https://ciug.gal/uploads/PDF/2025/PAU/extraordinaria/criterios/24.pdf,descargado,no,
Matemáticas II,2026,ordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a215d03dadbd90721118820matematicasiiex426.pdf,fuentes/matematicas_ii/2026/ordinaria/20_matematicas_ii_ordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/Grupos_Traballo/6a4218a50b75a20675291520-criterios-pau-ord-2026.pdf,descargado,no,
Matemáticas II,2026,extraordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a4640b65172a51635762020-matematicas-ii.pdf,fuentes/matematicas_ii/2026/extraordinaria/20_matematicas_ii_extraordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a54c21398b9f58741254220-criterios-matematicas-extr-pau-26.pdf,descargado,no,
Bioloxía,2026,ordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a2000f2a8ac492033849821bioloxiamodeloex32026.pdf,fuentes/bioloxia/2026/ordinaria/21_bioloxia_ordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a4b943a11aca41712127821bioloxia2026criterios-correccionwebciug.pdf,descargado,no,
Bioloxía,2026,extraordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a45011f526f048622887121-bioloxia.pdf,fuentes/bioloxia/2026/extraordinaria/21_bioloxia_extraordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a4ca5a50e8f274416161221-criterios-bioloxia-extr-pau-26.pdf,descargado,no,
Física,2026,ordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a20556e6254c93548943623fisicaex3.pdf,fuentes/fisica/2026/ordinaria/23_fisica_ordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a439c8daa2f759155184923-criterios-pau-ord-2026.pdf,descargado,no,
Física,2026,extraordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a4535d82d29678699112723-fisica.pdf,fuentes/fisica/2026/extraordinaria/23_fisica_extraordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a4ca5d9d585811743607223-criterios-fisica-extr-pau-26.pdf,descargado,no,
Química,2026,ordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a2069f3a41cb68013621824quimica-ex2.pdf,fuentes/quimica/2026/ordinaria/24_quimica_ordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a26a9a95d84f41921028524quimicacriterios-de-correccion-ordinaria-2026.pdf,descargado,no,
Química,2026,extraordinaria,https://ciug.gal/uploads/PDF/2026/PAU/6a4545373261602742488624-quimica.pdf,fuentes/quimica/2026/extraordinaria/24_quimica_extraordinaria_2026.pdf,https://ciug.gal/uploads/PDF/2026/PAU/6a4ca5f5de6d742496258824criterios-quimica-extr-pau-26.pdf,descargado,no,
Matemáticas II,2010,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Matematicas.pdf,fuentes/matematicas_ii/2010/ordinaria/20_matematicas_ii_ordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Matematicas.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
Matemáticas II,2010,extraordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Matematicas.pdf,fuentes/matematicas_ii/2010/extraordinaria/20_matematicas_ii_extraordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Matematicas.pdf); se separó la parte 'extraordinaria' detectando el marcador de convocatoria dentro del texto.
Bioloxía,2010,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Bioloxia.pdf,fuentes/bioloxia/2010/ordinaria/21_bioloxia_ordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Bioloxia.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
Bioloxía,2010,extraordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Bioloxia.pdf,fuentes/bioloxia/2010/extraordinaria/21_bioloxia_extraordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Bioloxia.pdf); se separó la parte 'extraordinaria' detectando el marcador de convocatoria dentro del texto.
Física,2010,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Fisica.pdf,fuentes/fisica/2010/ordinaria/23_fisica_ordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Fisica.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
Física,2010,extraordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Fisica.pdf,fuentes/fisica/2010/extraordinaria/23_fisica_extraordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Fisica.pdf); se separó la parte 'extraordinaria' detectando el marcador de convocatoria dentro del texto.
Química,2010,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Quimica.pdf,fuentes/quimica/2010/ordinaria/24_quimica_ordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Quimica.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
Química,2010,extraordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2010/PAU 2010 Quimica.pdf,fuentes/quimica/2010/extraordinaria/24_quimica_extraordinaria_2010.pdf,,descargado,no,Único PDF disponible para 2010 en el zip (2001_2012/2010/PAU 2010 Quimica.pdf); se separó la parte 'extraordinaria' detectando el marcador de convocatoria dentro del texto.
Matemáticas II,2011,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2011/PAU 2011 Matematicas II.pdf,fuentes/matematicas_ii/2011/ordinaria/20_matematicas_ii_ordinaria_2011.pdf,,descargado,no,Único PDF disponible para 2011 en el zip (2001_2012/2011/PAU 2011 Matematicas II.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
Matemáticas II,2011,extraordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2011/PAU 2011 Matematicas II.pdf,fuentes/matematicas_ii/2011/extraordinaria/20_matematicas_ii_extraordinaria_2011.pdf,,descargado,no,Único PDF disponible para 2011 en el zip (2001_2012/2011/PAU 2011 Matematicas II.pdf); se separó la parte 'extraordinaria' detectando el marcador de convocatoria dentro del texto.
Bioloxía,2011,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2011/PAU 2011 Bioloxia.pdf,fuentes/bioloxia/2011/ordinaria/21_bioloxia_ordinaria_2011.pdf,,descargado,no,Único PDF disponible para 2011 en el zip (2001_2012/2011/PAU 2011 Bioloxia.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
Bioloxía,2011,extraordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2011/PAU 2011 Bioloxia.pdf,fuentes/bioloxia/2011/extraordinaria/21_bioloxia_extraordinaria_2011.pdf,,descargado,no,Único PDF disponible para 2011 en el zip (2001_2012/2011/PAU 2011 Bioloxia.pdf); se separó la parte 'extraordinaria' detectando el marcador de convocatoria dentro del texto.
Física,2011,ordinaria,https://ciug.gal/uploads/PDF/anos_anteriores/probas/2001_2012.zip#2001_2012/2011/PAU 2011 Fisica.pdf,fuentes/fisica/2011/ordinaria/23_fisica_ordinaria_2011.pdf,,descargado,no,Único PDF disponible para 2011 en el zip (2001_2012/2011/PAU 2011 Fisica.pdf); se separó la parte 'ordinaria' detectando el marcador de convocatoria dentro del texto.
